"John Bosco"	"Gregory"	"Basil"	"Peter"	"Bonaventure"	"Berthold"	"Mark"	"Victor"	"Ambrose"	"Romauld"	"Louis"	"Winfrid"	"Amand"	"Hugh"	"Boniface"	"Albert"	"Elias"	"Simplicius"
"John Bosco"	0	0	2	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0
"Gregory"	3	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
"Basil"	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Peter"	0	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0
"Bonaventure"	0	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0
"Berthold"	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"Mark"	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0
"Victor"	3	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Ambrose"	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0
"Romauld"	0	0	0	3	0	0	0	1	0	0	0	0	0	2	0	0	0	0
"Louis"	0	0	0	0	3	0	0	1	0	0	0	0	0	2	0	0	0	0
"Winfrid"	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Amand"	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	3
"Hugh"	3	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0
"Boniface"	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Albert"	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
"Elias"	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
"Simplicius"	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
